Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,ClaimSize
Jun,1,Monday,Honda,Urban,Friday,Jun,3,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,11871,13,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,Yes,No,External,3 to 5,no change,1 vehicle,1996,Collision,71329.9497857664
Apr,4,Thursday,Toyota,Urban,Tuesday,May,1,Male,Single,46,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,11872,2,400,2,more than 30,more than 30,more than 4,6 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,13901.9019368839
Aug,4,Thursday,Pontiac,Urban,Monday,Aug,5,Male,Married,46,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,11873,16,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Liability,3616.92378661156
Jan,4,Monday,Pontiac,Urban,Monday,Jan,4,Male,Married,55,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,11875,14,400,1,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,54863.3103859151
May,3,Monday,Pontiac,Rural,Wednesday,May,3,Male,Married,26,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,11876,10,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,9511.87176171831
May,2,Friday,Toyota,Urban,Tuesday,Jun,2,Male,Married,52,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,11877,1,400,1,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,6036.37969148273
May,1,Thursday,Honda,Rural,Monday,May,2,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,11878,11,400,2,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1996,Collision,50451.7042216544
Jun,4,Sunday,Honda,Urban,Monday,Jun,4,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,11879,13,400,4,more than 30,more than 30,more than 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1996,Liability,91760.0929849562
Jun,1,Friday,Honda,Urban,Wednesday,Jun,2,Male,Married,52,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11880,4,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,6880.07079408953
Nov,2,Tuesday,Honda,Urban,Tuesday,Nov,3,Female,Single,27,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11881,13,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,5205.33779218174
Apr,4,Monday,Toyota,Urban,Monday,Apr,4,Female,Married,31,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,11882,3,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability,6187.21653346983
May,2,Thursday,Honda,Urban,Thursday,May,2,Male,Single,28,Policy Holder,Sport - Collision,Sport,more than 69000,0,11885,6,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,71756.9413197145
Jun,4,Saturday,Toyota,Urban,Tuesday,Jun,4,Male,Married,42,Third Party,Sedan - All Perils,Sedan,less than 20000,0,11886,12,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,3598.60307990354
Jun,3,Friday,Mazda,Urban,Friday,Jun,3,Male,Married,33,Third Party,Sport - Collision,Sport,more than 69000,0,11887,5,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1996,Collision,84577.1347233716
Aug,3,Friday,Chevrolet,Urban,Tuesday,Sep,1,Male,Single,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11888,1,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,39924.5763684877
Nov,4,Sunday,Pontiac,Urban,Friday,Dec,1,Male,Married,42,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,11890,7,400,1,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,62863.4907613815
Apr,4,Wednesday,Toyota,Urban,Monday,May,2,Male,Married,47,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,11892,13,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,6978.95529385642
Mar,3,Monday,Honda,Urban,Wednesday,Mar,3,Male,Married,63,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11893,7,400,4,more than 30,more than 30,more than 4,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1996,Liability,10918.6878607467
Jun,4,Thursday,Toyota,Urban,Thursday,Jun,4,Male,Married,42,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11895,3,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability,10199.7547895206
Sep,1,Tuesday,Chevrolet,Urban,Tuesday,Sep,1,Male,Married,48,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,11896,5,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,82211.8592620639
Nov,3,Thursday,Chevrolet,Urban,Wednesday,Dec,4,Female,Married,32,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,11898,11,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,7707.8665377371
Apr,5,Saturday,Pontiac,Urban,Thursday,May,1,Male,Single,35,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,11899,9,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,4323.41730458717
Apr,5,Saturday,Honda,Urban,Monday,Sep,3,Female,Single,45,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,11900,12,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,2485.28134909093
Sep,3,Tuesday,Pontiac,Urban,Friday,Oct,4,Male,Married,38,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,11903,11,400,4,more than 30,more than 30,1,more than 7,36 to 40,Yes,No,External,3 to 5,no change,1 vehicle,1996,All Perils,9395.03667412542
Mar,3,Wednesday,Pontiac,Urban,Monday,Mar,4,Male,Married,39,Policy Holder,Utility - Liability,Utility,40000 to 59000,0,11908,16,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,4 to 8 years,2 vehicles,1996,Liability,79469.2200327267
Apr,5,Sunday,Pontiac,Urban,Friday,May,3,Male,Married,58,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,11910,14,400,2,more than 30,more than 30,1,7 years,51 to 65,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,9800.43330259569
Feb,3,Monday,Chevrolet,Urban,Monday,Feb,3,Female,Single,37,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11911,5,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,1444.49652036267
Feb,3,Monday,Pontiac,Urban,Friday,Feb,4,Male,Married,30,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,11912,1,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,Internal,3 to 5,no change,1 vehicle,1996,Liability,60942.271246091
Aug,2,Friday,Toyota,Urban,Tuesday,Sep,1,Male,Single,33,Third Party,Sedan - Liability,Sport,20000 to 29000,0,11913,10,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,2309.91288446001
Sep,5,Saturday,Pontiac,Urban,Tuesday,Oct,1,Female,Married,54,Third Party,Sedan - All Perils,Sedan,less than 20000,0,11914,1,400,2,more than 30,more than 30,1,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,9052.33293581464
May,1,Monday,Honda,Urban,Tuesday,May,1,Male,Married,39,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,1,11915,5,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,7459.35919776408
Feb,1,Friday,Pontiac,Urban,Monday,Feb,1,Male,Married,45,Policy Holder,Utility - All Perils,Utility,more than 69000,0,11916,4,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1996,All Perils,66034.9921768977
Feb,1,Saturday,Toyota,Urban,Tuesday,Feb,4,Female,Single,27,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11917,6,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,2678.80764713944
Nov,3,Tuesday,Toyota,Urban,Thursday,Feb,2,Male,Married,40,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11918,13,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,3008.07678792073
May,1,Monday,Ford,Urban,Friday,May,4,Male,Married,58,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,11919,1,400,4,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1996,All Perils,9064.97847362045
Jul,2,Wednesday,Pontiac,Urban,Friday,Jul,3,Male,Married,46,Third Party,Sedan - All Perils,Sedan,less than 20000,0,11920,15,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,2561.22809043467
Aug,1,Sunday,Honda,Rural,Friday,Feb,2,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,11921,14,400,3,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1996,Liability,53184.4673431935
Jan,1,Monday,Toyota,Urban,Tuesday,Jan,1,Male,Single,25,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11923,16,400,2,more than 30,more than 30,1,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1996,Collision,3387.81296947733
Jan,1,Tuesday,Toyota,Urban,Tuesday,Jan,1,Male,Married,57,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,11924,5,400,3,more than 30,more than 30,none,6 years,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,4126.08402721384
Jan,3,Tuesday,Pontiac,Urban,Monday,Jan,4,Male,Married,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11925,15,400,4,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,33121.6294099932
Jan,3,Tuesday,Toyota,Urban,Wednesday,Jan,4,Male,Married,31,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,11926,16,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,All Perils,93522.0226458343
May,2,Monday,Pontiac,Urban,Tuesday,May,2,Male,Married,31,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11927,12,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Collision,2569.7821825969
Apr,3,Monday,VW,Rural,Tuesday,Apr,3,Male,Married,61,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,11929,16,400,4,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,4 to 8 years,2 vehicles,1996,Collision,55918.1283888816
Jan,2,Monday,Honda,Urban,Thursday,Jan,2,Male,Married,63,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,11930,12,400,4,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1996,All Perils,8876.63615187676
Jan,2,Sunday,Honda,Urban,Monday,Jan,2,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,11931,8,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,11974.1587324616
Jan,2,Monday,Pontiac,Urban,Monday,Jan,2,Male,Married,60,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,11932,4,400,4,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,1 to 2,no change,3 to 4,1996,All Perils,11719.6562290282
Dec,1,Tuesday,Toyota,Urban,Thursday,Dec,3,Male,Single,27,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,11933,15,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,4843.96539009118
Aug,4,Thursday,Honda,Urban,Thursday,Aug,5,Female,Single,30,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11934,4,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,5534.02183797899
Sep,1,Friday,Pontiac,Urban,Friday,Oct,2,Male,Single,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11935,9,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,2 to 3 years,1 vehicle,1996,Collision,5393.68567952064
Oct,4,Monday,Ford,Urban,Tuesday,Oct,4,Female,Married,62,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,11936,13,700,3,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,Liability,38274.451085841
Oct,3,Friday,Dodge,Urban,Thursday,Oct,4,Male,Married,34,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,11937,8,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,58488.9243920724
May,4,Thursday,Pontiac,Rural,Monday,May,5,Male,Married,53,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,11939,9,400,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,6751.51721109445
Dec,5,Saturday,Honda,Urban,Thursday,Jan,4,Male,Single,28,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11941,5,400,4,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability,5112.05541137372
Dec,5,Friday,Mazda,Urban,Friday,Jan,2,Male,Single,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,11943,12,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability,65937.5210164382
Dec,3,Thursday,Pontiac,Urban,Monday,Jan,1,Female,Single,22,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11944,3,400,1,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1996,Collision,4129.96937447541
May,1,Wednesday,Toyota,Urban,Thursday,May,2,Male,Married,48,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,11945,9,400,1,more than 30,more than 30,1,5 years,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1996,All Perils,77167.2232461485
Dec,1,Thursday,Honda,Rural,Friday,Dec,1,Male,Married,33,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11946,6,400,4,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,5875.55167279789
Jul,4,Thursday,Honda,Urban,Friday,Jul,4,Male,Married,47,Third Party,Sedan - Liability,Sport,20000 to 29000,0,11948,7,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Liability,4723.73043588394
Mar,2,Friday,Chevrolet,Urban,Friday,Mar,2,Male,Married,35,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,11949,3,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,Yes,No,External,more than 5,no change,1 vehicle,1996,All Perils,50099.5570573993
Mar,2,Thursday,Chevrolet,Urban,Monday,Mar,3,Male,Married,45,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,11950,12,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,4 to 8 years,2 vehicles,1996,Collision,970.115591817227
Feb,2,Friday,Honda,Urban,Tuesday,Feb,3,Male,Single,0,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,11951,6,400,1,more than 30,more than 30,none,new,16 to 17,No,No,External,none,no change,1 vehicle,1996,All Perils,65677.7615265717
Feb,2,Friday,Mazda,Urban,Monday,Feb,3,Male,Single,28,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,11952,2,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,3 to 5,no change,1 vehicle,1996,Collision,19837.8013069571
Jan,4,Saturday,Pontiac,Urban,Monday,Jan,4,Female,Single,29,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11953,15,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,4673.81466474576
Jan,4,Friday,Toyota,Urban,Monday,Jan,4,Male,Married,47,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,11955,16,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Liability,10818.8179265498
Feb,2,Saturday,Pontiac,Urban,Friday,Feb,3,Male,Married,58,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11957,9,400,4,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1996,Liability,2148.08153929386
Feb,4,Thursday,Honda,Rural,Friday,Mar,1,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,0,11959,2,400,2,more than 30,more than 30,1,new,16 to 17,No,No,External,none,no change,1 vehicle,1996,Liability,63150.5978384061
Mar,1,Friday,Mazda,Urban,Tuesday,Mar,2,Male,Single,22,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,11960,6,400,2,more than 30,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1996,All Perils,1697.76587115073
Mar,3,Tuesday,Toyota,Urban,Wednesday,Mar,3,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11961,4,400,3,more than 30,more than 30,1,6 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,2984.39638252675
May,1,Wednesday,Honda,Urban,Tuesday,Jun,1,Male,Married,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11962,3,400,2,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,11442.4282544797
Jun,3,Thursday,Toyota,Urban,Wednesday,Jun,4,Male,Married,55,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,11963,5,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,6207.71681840207
May,5,Tuesday,Honda,Urban,Wednesday,May,5,Male,Married,41,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,11964,13,400,1,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Collision,7563.06241372471
May,2,Monday,Pontiac,Urban,Thursday,May,2,Male,Married,43,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,11965,13,400,2,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Liability,98226.7866501589
May,1,Thursday,Mazda,Urban,Friday,May,2,Male,Married,53,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,11966,12,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,Yes,No,External,none,no change,1 vehicle,1996,Collision,5504.07376533161
May,1,Wednesday,Chevrolet,Rural,Tuesday,May,4,Female,Married,53,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,11967,11,400,2,more than 30,more than 30,2 to 4,6 years,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,6466.96176041855
Dec,4,Tuesday,Pontiac,Urban,Monday,Jan,1,Male,Married,43,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,11969,16,400,4,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability,23291.5904709254
Sep,3,Wednesday,Pontiac,Urban,Wednesday,Sep,4,Male,Married,50,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,11970,7,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,All Perils,1407.20721748478
Sep,1,Friday,Pontiac,Urban,Wednesday,Sep,2,Male,Married,32,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,11971,10,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1996,All Perils,1242.96575749167
Aug,4,Monday,Pontiac,Urban,Tuesday,Sep,1,Male,Married,29,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11972,10,400,2,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,1347.34373189786
May,1,Thursday,Toyota,Urban,Friday,May,1,Male,Married,33,Third Party,Sedan - All Perils,Sedan,more than 69000,0,11974,6,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,69388.728797213
May,4,Friday,Pontiac,Urban,Monday,Jun,1,Male,Married,53,Policy Holder,Sedan - Liability,Sport,more than 69000,0,11979,11,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1996,Liability,69101.981954304
Oct,2,Tuesday,Honda,Urban,Friday,Feb,3,Male,Single,0,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,11980,15,400,1,more than 30,more than 30,2 to 4,new,16 to 17,No,No,External,none,no change,1 vehicle,1996,Collision,62060.9634462246
Aug,3,Saturday,Chevrolet,Urban,Tuesday,Jan,2,Male,Married,36,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,11981,14,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,83668.4834825504
Jun,4,Wednesday,Chevrolet,Urban,Tuesday,Jan,4,Male,Married,61,Third Party,Sedan - Liability,Sport,40000 to 59000,0,11983,8,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,Internal,1 to 2,no change,1 vehicle,1996,Liability,50754.8040303591
Jan,4,Wednesday,Nisson,Urban,Monday,Mar,3,Male,Married,26,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,11984,15,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,All Perils,13211.6431083854
Aug,3,Tuesday,Mazda,Urban,Wednesday,Sep,1,Female,Married,35,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11985,12,400,1,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability,7118.39010015273
Dec,4,Saturday,Nisson,Urban,Monday,Dec,4,Male,Married,49,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,11986,8,500,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,2 to 3 years,1 vehicle,1996,Liability,60393.5964670919
Dec,2,Monday,Toyota,Urban,Tuesday,Feb,2,Male,Married,37,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,11987,10,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,8052.3771660219
Nov,4,Wednesday,Toyota,Rural,Monday,Nov,5,Male,Married,37,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,11988,4,400,2,more than 30,more than 30,more than 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1996,Liability,66455.9215094879
Oct,4,Friday,Chevrolet,Urban,Friday,Oct,4,Male,Single,31,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,11989,16,400,1,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1996,Liability,16927.6034476874
Oct,4,Sunday,Chevrolet,Urban,Monday,Oct,4,Male,Married,72,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11990,4,400,3,more than 30,more than 30,none,more than 7,over 65,No,No,External,1 to 2,no change,1 vehicle,1996,Collision,2759.96626522805
Jan,4,Wednesday,Honda,Urban,Wednesday,Jan,4,Male,Married,49,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11994,16,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,5041.4953933671
Jun,4,Wednesday,Pontiac,Urban,Wednesday,Jun,4,Female,Single,28,Policy Holder,Sedan - Liability,Sport,more than 69000,0,11995,13,400,2,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1996,Liability,62888.3079961455
Feb,3,Friday,Toyota,Urban,Friday,Feb,3,Male,Married,32,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,11996,4,400,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Liability,58899.3445318262
May,1,Friday,Toyota,Rural,Tuesday,May,4,Male,Married,44,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,11998,1,700,2,more than 30,more than 30,1,more than 7,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,83591.4331868486
Apr,1,Sunday,Mazda,Urban,Wednesday,Apr,1,Male,Married,32,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,11999,3,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1996,Collision,1599.17173664438
Feb,5,Monday,Toyota,Urban,Wednesday,Mar,1,Male,Married,74,Third Party,Sedan - Liability,Sport,20000 to 29000,0,12000,10,400,1,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,more than 5,no change,5 to 8,1996,Liability,2248.04432627153
Feb,4,Saturday,Pontiac,Urban,Tuesday,Mar,2,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,12001,14,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1996,Collision,1365.05696555192
Feb,2,Tuesday,Mazda,Urban,Wednesday,Feb,2,Male,Married,36,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,12003,13,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,All Perils,3975.26526336822
May,1,Friday,Mazda,Urban,Tuesday,May,2,Male,Married,37,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,1,12004,7,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1996,Collision,8885.25070226931
Feb,4,Friday,Pontiac,Urban,Tuesday,Mar,1,Male,Married,44,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,12005,2,400,4,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,Internal,1 to 2,no change,1 vehicle,1996,Liability,18179.6322042535
